path,rep,varying # of clones,varying # of snvs,varying # of cnas,varying # of cells,varying FP rate,varying FN rate,varying missing rate,varying cluster size (sd),SCGcluster-silhouette,SCGcluster-gt,SBMClone,Kmeans
cell_100/rep1,1,4,5000,200,100,0.05,0.6,0.98,0.5,0.7790690300775824,0.7790690300775824,0.0,0.6023619640699936
cell_100/rep2,2,4,5000,200,100,0.05,0.6,0.98,0.5,1.0,1.0,1.239295454552014e-15,0.2760473890199306
cell_100/rep3,3,4,5000,200,100,0.05,0.6,0.98,0.5,0.8556966359539689,0.8556966359539689,0.0384983081702051,0.6071327134211663
cell_100/rep4,4,4,5000,200,100,0.05,0.6,0.98,0.5,0.03361616916740199,0.05745614715355486,0.0,0.6803747199479045
cell_100/rep5,5,4,5000,200,100,0.05,0.6,0.98,0.5,0.7531630221489549,0.7531630221489549,0.0,0.0630592908477857
cell_1000/rep1,1,4,5000,200,1000,0.05,0.6,0.98,0.5,0.5724305877604409,0.5926888783477032,0.721995601249687,0.6135062938017073
cell_1000/rep2,2,4,5000,200,1000,0.05,0.6,0.98,0.5,1.0000000000000002,1.0000000000000002,0.497377204809044,0.6645835143405564
cell_1000/rep3,3,4,5000,200,1000,0.05,0.6,0.98,0.5,1.0,1.0,0.6196461901608944,0.625665968582824
cell_1000/rep4,4,4,5000,200,1000,0.05,0.6,0.98,0.5,0.7813660763677223,0.7994548849995073,0.7172792798107182,0.6321983971415094
cell_1000/rep5,5,4,5000,200,1000,0.05,0.6,0.98,0.5,0.7554960512426855,0.7613525370760434,0.0,0.2627744057350992
clone_2/rep1,1,2,5000,200,500,0.05,0.6,0.98,0.5,0.786319265171764,0.8525536266556524,0.9999999999999984,0.0001166949446245
clone_2/rep2,2,2,5000,200,500,0.05,0.6,0.98,0.5,0.24275929443477387,0.2691304297148461,2.413725055878082e-15,1.1804758264879915e-06
clone_2/rep3,3,2,5000,200,500,0.05,0.6,0.98,0.5,0.7774588410621062,0.9397553871177301,0.6858205001096029,1.2313460820129557e-05
clone_2/rep4,4,2,5000,200,500,0.05,0.6,0.98,0.5,0.8360760067633183,0.8667218728660452,8.4282121804283455e-16,0.0011260502003417
clone_2/rep5,5,2,5000,200,500,0.05,0.6,0.98,0.5,0.8775538455827872,0.9327149124847673,0.0,0.00538296838379
clone_4/rep1,1,4,5000,200,500,0.05,0.6,0.98,0.5,0.6096853729007167,0.7079628891865536,0.6023151967179374,0.6124359814694913
clone_4/rep2,2,4,5000,200,500,0.05,0.6,0.98,0.5,1.0,1.0,0.0056822450077904,0.4696173893127223
clone_4/rep3,3,4,5000,200,500,0.05,0.6,0.98,0.5,0.9166975209886048,0.9166975209886048,0.0,0.6328215828457617
clone_4/rep4,4,4,5000,200,500,0.05,0.6,0.98,0.5,0.8515862123839264,0.8527896370689589,0.6683611795146102,0.6407328814090015
clone_4/rep5,5,4,5000,200,500,0.05,0.6,0.98,0.5,0.522332604099567,0.9065871899089026,2.0216552118234988e-15,0.0443749293135677
clone_6/rep1,1,6,5000,200,500,0.05,0.6,0.98,0.5,0.8767424728638026,0.8767424728638026,0.0,0.539325397848932
clone_6/rep2,2,6,5000,200,500,0.05,0.6,0.98,0.5,0.6871080806305987,0.7270509969835904,0.0,0.424094240862658
clone_6/rep3,3,6,5000,200,500,0.05,0.6,0.98,0.5,0.7846690210584156,0.8260362403389773,3.492647238846749e-16,0.5638629961801988
clone_6/rep4,4,6,5000,200,500,0.05,0.6,0.98,0.5,0.6668950411432832,0.8574444551251283,0.0,0.5719645254447909
clone_6/rep5,5,6,5000,200,500,0.05,0.6,0.98,0.5,0.8896968691607873,0.8896968691607873,0.0,0.7009937373133711
cna_100/rep1,1,4,5000,100,500,0.05,0.6,0.98,0.5,0.6145919053452006,0.6754877925205777,0.0,0.6016025837902175
cna_100/rep2,2,4,5000,100,500,0.05,0.6,0.98,0.5,1.0,1.0000000000000002,1.5568971494352166e-15,0.602396321829419
cna_100/rep3,3,4,5000,100,500,0.05,0.6,0.98,0.5,0.8748194618907211,0.9999999999999999,0.0,0.6262066572349708
cna_100/rep4,4,4,5000,100,500,0.05,0.6,0.98,0.5,0.8575357777143295,0.8575357777143295,0.5929435253540087,0.6297768165880832
cna_100/rep5,5,4,5000,100,500,0.05,0.6,0.98,0.5,0.5102309663130076,0.5243941017645407,2.0216552118234988e-15,0.0152206371238423
cna_300/rep1,1,4,5000,300,500,0.05,0.6,0.98,0.5,0.5146928271773419,0.5227133419856027,0.6936351877036633,0.6090837591628391
cna_300/rep2,2,4,5000,300,500,0.05,0.6,0.98,0.5,1.0,1.0,0.3629459335874452,0.6531389901352321
cna_300/rep3,3,4,5000,300,500,0.05,0.6,0.98,0.5,0.9904239237460691,0.9999999999999999,0.0,0.629943833336426
cna_300/rep4,4,4,5000,300,500,0.05,0.6,0.98,0.5,0.5705285911284372,0.6375258582810758,0.6217655743499828,0.6588330864138017
cna_300/rep5,5,4,5000,300,500,0.05,0.6,0.98,0.5,0.5302913298576778,0.8404436715918014,2.0216552118234988e-15,0.0675085802736372
fn_0.55/rep1,1,4,5000,200,500,0.05,0.55,0.98,0.5,0.8903366768054864,0.8903366768054864,0.6763269468946765,0.5938243287458754
fn_0.55/rep2,2,4,5000,200,500,0.05,0.55,0.98,0.5,1.0,1.0,0.0112605083319712,0.6481544774417536
fn_0.55/rep3,3,4,5000,200,500,0.05,0.55,0.98,0.5,0.8710724850392804,0.9423762733272818,0.5073207213363933,0.6222584152435184
fn_0.55/rep4,4,4,5000,200,500,0.05,0.55,0.98,0.5,0.4335682135880027,0.5065436937673663,0.7175155454277888,0.636801918862386
fn_0.55/rep5,5,4,5000,200,500,0.05,0.55,0.98,0.5,0.5111607840655629,0.5444211603170879,2.0216552118234988e-15,0.0047644584325591
fn_0.65/rep1,1,4,5000,200,500,0.05,0.65,0.98,0.5,0.5974629457430901,0.8608063370321789,0.0,0.6107703661126545
fn_0.65/rep2,2,4,5000,200,500,0.05,0.65,0.98,0.5,1.0,1.0000000000000002,1.5568971494352166e-15,0.6507476395654535
fn_0.65/rep3,3,4,5000,200,500,0.05,0.65,0.98,0.5,0.9999999999999999,1.0,0.0,0.6220317741826755
fn_0.65/rep4,4,4,5000,200,500,0.05,0.65,0.98,0.5,0.056042930439107665,0.13634820694309419,0.0109750685528886,0.6452787697874007
fn_0.65/rep5,5,4,5000,200,500,0.05,0.65,0.98,0.5,0.5192869442124134,0.5192869442124134,2.0216552118234988e-15,0.071385420432612
fp_0.01/rep1,1,4,5000,200,500,0.01,0.6,0.98,0.5,0.5980641087196866,0.8788396606920094,0.7100478857665806,0.602968647486635
fp_0.01/rep2,2,4,5000,200,500,0.01,0.6,0.98,0.5,1.0,1.0,0.3262007761707328,0.4616847070431232
fp_0.01/rep3,3,4,5000,200,500,0.01,0.6,0.98,0.5,0.8810114971808336,0.8839452897100133,0.6734738327214665,0.6355547478107443
fp_0.01/rep4,4,4,5000,200,500,0.01,0.6,0.98,0.5,0.850931478992484,0.9656200683283379,0.7326573980416663,0.652129028648531
fp_0.01/rep5,5,4,5000,200,500,0.01,0.6,0.98,0.5,0.7699979719901496,0.7699979719901496,2.0216552118234988e-15,0.003194934079158
fp_0.1/rep1,1,4,5000,200,500,0.1,0.6,0.98,0.5,0.1529688362751096,0.6885945799335272,0.0,0.6009972643869
fp_0.1/rep2,2,4,5000,200,500,0.1,0.6,0.98,0.5,0.8994179809532707,0.9563887874701426,1.5568971494352166e-15,0.6520477110083035
fp_0.1/rep3,3,4,5000,200,500,0.1,0.6,0.98,0.5,0.9999999999999999,1.0,0.0,0.6253861752081727
fp_0.1/rep4,4,4,5000,200,500,0.1,0.6,0.98,0.5,0.8559862560369669,0.9493202799239383,0.0,0.6265509724247693
fp_0.1/rep5,5,4,5000,200,500,0.1,0.6,0.98,0.5,0.5215455509046227,0.5243274880608942,2.0216552118234988e-15,0.0881627274405088
miss_0.95/rep1,1,4,5000,200,500,0.05,0.6,0.95,0.5,0.5941303657744564,0.7300833634162494,0.7244103280815611,0.5976952816372464
miss_0.95/rep2,2,4,5000,200,500,0.05,0.6,0.95,0.5,1.0,1.0,0.8031739558273568,0.6433733973680711
miss_0.95/rep3,3,4,5000,200,500,0.05,0.6,0.95,0.5,0.8779231351082354,0.8779231351082354,0.8310150446814483,0.6210967169122664
miss_0.95/rep4,4,4,5000,200,500,0.05,0.6,0.95,0.5,1.0,1.0,0.7397261076573362,0.6273908337909873
miss_0.95/rep5,5,4,5000,200,500,0.05,0.6,0.95,0.5,0.4262858505266809,0.4262858505266809,2.0216552118234988e-15,0.2710756921667979
miss_0.99/rep1,1,4,5000,200,500,0.05,0.6,0.99,0.5,0.09172698053614567,0.09172698053614567,0.0,0.5975391303067114
miss_0.99/rep2,2,4,5000,200,500,0.05,0.6,0.99,0.5,1.0,1.0,0.0479555050493511,0.6658193029084798
miss_0.99/rep3,3,4,5000,200,500,0.05,0.6,0.99,0.5,0.82207394360441,0.8264918766810195,0.0318333675489062,0.6204686420942641
miss_0.99/rep4,4,4,5000,200,500,0.05,0.6,0.99,0.5,1.0000000000000002,1.0000000000000002,0.0,0.6327604507869178
miss_0.99/rep5,5,4,5000,200,500,0.05,0.6,0.99,0.5,0.5192869442124134,0.5192869442124134,2.0216552118234988e-15,0.0270015600795936
sd_0.3/rep1,1,4,5000,200,500,0.05,0.6,0.98,0.3,0.7778443926286038,0.8788396606920094,0.585750116212782,0.6128264489167907
sd_0.3/rep2,2,4,5000,200,500,0.05,0.6,0.98,0.3,1.0,1.0,1.5568971494352166e-15,0.5862637463474315
sd_0.3/rep3,3,4,5000,200,500,0.05,0.6,0.98,0.3,0.8709110079102249,0.8797299941343303,0.0,0.6225284482798595
sd_0.3/rep4,4,4,5000,200,500,0.05,0.6,0.98,0.3,0.851220618691545,1.0000000000000002,0.0,0.6424890932850938
sd_0.3/rep5,5,4,5000,200,500,0.05,0.6,0.98,0.3,0.522337961586314,0.8666542960272893,2.0216552118234988e-15,0.1029306330168487
sd_1/rep1,1,4,5000,200,500,0.05,0.6,0.98,1,0.6010158065220196,0.7228471122967366,0.6096496530931917,0.6008803111583032
sd_1/rep2,2,4,5000,200,500,0.05,0.6,0.98,1,1.0,1.0,1.5568971494352166e-15,0.2216683889405218
sd_1/rep3,3,4,5000,200,500,0.05,0.6,0.98,1,0.7141914008749163,0.7141914008749163,0.0,0.6524219693933621
sd_1/rep4,4,4,5000,200,500,0.05,0.6,0.98,1,0.851220618691545,0.8742496381957846,0.6815433747416013,0.6563605459697293
sd_1/rep5,5,4,5000,200,500,0.05,0.6,0.98,1,0.2028940674094335,0.20484084891353926,2.0216552118234988e-15,0.0440986696564152
snv_1000/rep1,1,4,1000,200,500,0.05,0.6,0.98,0.5,0.006351469774210986,0.006946493041804107,0.0362569887251445,0.6070246518772114
snv_1000/rep2,2,4,1000,200,500,0.05,0.6,0.98,0.5,0.9585958805223745,0.9585958805223745,0.1328206711389421,0.6439729212907062
snv_1000/rep3,3,4,1000,200,500,0.05,0.6,0.98,0.5,0.9999999999999999,1.0,0.0514270168881774,0.6320235902392038
snv_1000/rep4,4,4,1000,200,500,0.05,0.6,0.98,0.5,1.0,1.0000000000000002,0.0107187835467878,0.6359763012207315
snv_1000/rep5,5,4,1000,200,500,0.05,0.6,0.98,0.5,0.9158918200858149,0.9258176271108789,0.0417248069978992,0.073397202889027
snv_10000/rep1,1,4,10000,200,500,0.05,0.6,0.98,0.5,0.7776821091646381,0.7783457007042259,0.7100478857665806,0.6155341719563334
snv_10000/rep2,2,4,10000,200,500,0.05,0.6,0.98,0.5,0.8396626746771568,1.0000000000000002,0.267885230386116,0.4532951180568985
snv_10000/rep3,3,4,10000,200,500,0.05,0.6,0.98,0.5,0.7076771515445195,0.7076771515445195,0.5972795063714539,0.6266976063090396
snv_10000/rep4,4,4,10000,200,500,0.05,0.6,0.98,0.5,0.6436265140833891,0.6436265140833891,0.6997136140109483,0.6425763784548402
snv_10000/rep5,5,4,10000,200,500,0.05,0.6,0.98,0.5,0.5107642359565636,0.6447565152498046,2.0216552118234988e-15,0.091451540849943
